Tube Num,Tank,Combo,Salinity,Population,Sex,Replicate,Date,Length(cm),Weight(g),
21,Tank 9,Combo2,FW,PL,M,1,5-22-15,6.6,6.5,
22,Tank 9,Combo2,FW,PL,M,2,5-22-15,6.7,7.3,
23,Tank 9,Combo2,FW,PL,M,3,5-22-15,7.6,9.2,
24,Tank 9,Combo2,FW,PL,M,4,5-22-15,7.4,8.6,
25,Tank 9,Combo2,FW,PL,M,5,5-22-15,7.2,8.3,
26,Tank 9,Combo2,FW,PL,F,1,5-22-15,6.8,6.7,
27,Tank 9,Combo2,FW,PL,F,2,5-22-15,7.5,9.4,
28,Tank 9,Combo2,FW,PL,F,3,5-22-15,7.3,10.3,
29,Tank 9,Combo2,FW,PL,F,4,5-22-15,6.9,7.4,
30,Tank 9,Combo2,FW,PL,F,5,5-22-15,6.7,6.4,
31,Tank 9,Combo2,FW,PP,M,1,5-22-15,7.5,6.8,
32,Tank 9,Combo2,FW,PP,M,2,5-22-15,8.1,10.3,
33,Tank 9,Combo2,FW,PP,M,3,5-22-15,7.4,8.6,
34,Tank 9,Combo2,FW,PP,M,4,5-22-15,6.6,6.4,
35,Tank 9,Combo2,FW,PP,M,5,5-22-15,8.2,11.4,
36,Tank 9,Combo2,FW,PP,F,1,5-22-15,5.9,5.1,
37,Tank 9,Combo2,FW,PP,F,2,5-22-15,7.5,8.2,
38,Tank 9,Combo2,FW,PP,F,3,5-22-15,7.7,7.3,
39,Tank 9,Combo2,FW,PP,F,4,5-22-15,7.9,9.2,
40,Tank 9,Combo2,FW,PP,F,5,5-22-15,NA,NA,
61,Tank 11,Combo4,FW,PL,M,1,5-22-15,7.8,9.9,
62,Tank 11,Combo4,FW,PL,M,2,5-22-15,6.3,5.5,
63,Tank 11,Combo4,FW,PL,M,3,5-22-15,7.5,8.1,
64,Tank 11,Combo4,FW,PL,M,4,5-22-15,7.3,7.7,
65,Tank 11,Combo4,FW,PL,M,5,5-22-15,6.9,6.5,
66,Tank 11,Combo4,FW,PL,F,1,5-22-15,7.6,8.0,
67,Tank 11,Combo4,FW,PL,F,2,5-22-15,7.4,7.5,
68,Tank 11,Combo4,FW,PL,F,3,5-22-15,6.8,6.5,
69,Tank 11,Combo4,FW,PL,F,4,5-22-15,6.4,5.3,
70,Tank 11,Combo4,FW,PL,F,5,5-22-15,NA,NA,
71,Tank 11,Combo4,FW,PP,M,1,5-22-15,7.9,10.0,
72,Tank 11,Combo4,FW,PP,M,2,5-22-15,6.3,5.2,
73,Tank 11,Combo4,FW,PP,M,3,5-22-15,7.1,7.4,
74,Tank 11,Combo4,FW,PP,M,4,5-22-15,7.1,5.6,
75,Tank 11,Combo4,FW,PP,M,5,5-22-15,7.2,7.8,
76,Tank 11,Combo4,FW,PP,F,1,5-22-15,7.3,6.1,
77,Tank 11,Combo4,FW,PP,F,2,5-22-15,8.0,10.3,
78,Tank 11,Combo4,FW,PP,F,3,5-22-15,8.1,9.4,
79,Tank 11,Combo4,FW,PP,F,4,5-22-15,7.4,6.4,
80,Tank 11,Combo4,FW,PP,F,5,5-22-15,7.5,8.5,
81,Tank 12,Combo5,FW,PL,M,1,5-22-15,7.3,7.4,
82,Tank 12,Combo5,FW,PL,M,2,5-22-15,7.4,8.1,
83,Tank 12,Combo5,FW,PL,M,3,5-22-15,7.2,7.5,
84,Tank 12,Combo5,FW,PL,M,4,5-22-15,7.5,7.6,
85,Tank 12,Combo5,FW,PL,M,5,5-22-15,7.0,6.9,
86,Tank 12,Combo5,FW,PL,F,1,5-22-15,7.2,7.4,
87,Tank 12,Combo5,FW,PL,F,2,5-22-15,6.3,5.8,
88,Tank 12,Combo5,FW,PL,F,3,5-22-15,6.2,5.0,
89,Tank 12,Combo5,FW,PL,F,4,5-22-15,7.4,7.1,
90,Tank 12,Combo5,FW,PL,F,5,5-22-15,7.1,7.3,
91,Tank 12,Combo5,FW,PP,M,1,5-22-15,7.1,6.9,
92,Tank 12,Combo5,FW,PP,M,2,5-22-15,7.0,7.9,
93,Tank 12,Combo5,FW,PP,M,3,5-22-15,7.2,6.7,
94,Tank 12,Combo5,FW,PP,M,4,5-22-15,7.9,9.0,
95,Tank 12,Combo5,FW,PP,M,5,5-22-15,7.2,7.9,
96,Tank 12,Combo5,FW,PP,F,1,5-22-15,7.8,10.6,
97,Tank 12,Combo5,FW,PP,F,2,5-22-15,7.6,8.2,
98,Tank 12,Combo5,FW,PP,F,3,5-22-15,7.5,8.2,
99,Tank 12,Combo5,FW,PP,F,4,5-22-15,7.5,8.1,
100,Tank 12,Combo5,FW,PP,F,5,5-22-15,7.1,7.4,
101,Tank 12,Combo5,FW,PL,F,6,5-22-15,6.4,5.5,
