offspring father confidence.x mother confidence.y father_combo mother_combo offspring_combo mother.pop father.pop mother.ind father.ind cross.dir cross
BW-Combo1-047 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-048 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-049 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-050 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-4 PPxPP PP-F-2xPP-M-4
BW-Combo1-051 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-052 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-4 PPxPP PP-F-2xPP-M-4
BW-Combo1-053 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-054 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-055 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-056 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-1 PP-M-4 PLxPP PL-F-1xPP-M-4
BW-Combo1-057 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-058 BW-Combo1-PL-M-5 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-5 PPxPL PP-F-2xPL-M-5
